id,name,slug,value,product_id
118,image-resolution,image-resolution,"4:3
88M(10848 X 8136); 80M(10336 X 7752);
72M(9824 X 7368); 64M(9248 X 6936);
56M(8640 X 6480); 48M(8000 X 6000);
36M(6880 X 5160);  24M(5600 X 4200);
20M(5120 X 3840);  16M(4640 X 3480);
12M(4032 X 3024); 8M(3264 X 2448);
5M(2592 X 1944)
16:9
66M(10880 X 6120); 60M(10368 X 5832);
53M(9728 X 5472); 48M(9216 X 5184);
43M(8704 X 4896); 37M(8064 X 4536);
27M(6912 X 3888);  18M(5632 X 3168);
15M(5120 X 2880);  12M(4608 X 2592);
9M(4096 X 2304); 6M(3328 X 1872);
4M(2560 X 1440)
1:1
66M(8182 X 8182); ",13
119,video-resolution,video-resolution,"8K(7680X4320) 15FPS; 6K(5760X3240) 30FPS;
5K(5120X2880) 30FPS; 4K(3840X2160) 30FPS;
2.7K(2688X1512) 30FPS; 1080P(1920X1080) 120FPS;
1080P(1920X1080) 60FPS; 1080P(1920X1080) 30FPS;
720P(1280X720) 240FPS; 720P(1280X720) 120FPS；
720P(1280X720) 60FPS; 720P(1280X720) 30FPS",13
120,front-image-sensor,front-image-sensor,"Pixel ：48 megapixel CMOS sensor IMX689
sensor size：1/1.4inch",13
121,rear-selfie-image-sensor,rear-selfie-image-sensor,"Pixel：13M image sensor IMX214
sensor size：1/3.06 inch",13
122,display-screen,display-screen,2.8 inch 640*480 IPS HD touch screen display,13
123,usb,usb,Type-C USB,13
124,expanded-memory-card,expanded-memory-card,TF Card slot (up to 256GB ),13
125,battery-capacity,battery-capacity,"NP-40, 1050mAh, 3.7V Rechargeable Lithium Battery",13
126,language,language,"English,Simplified Chinese,Traditional Chinese,Japanese,Korean,French,German,Italian,Spanish,Portuguese,Russian,Polish ,Vietnamese",13
127,accessories-for-camcorder,accessories-for-camcorder,"User's manual*1, USB-TYPE C cable*1, Lithium battery*1, Glasses Cloth*1, Lanyard*1,Camera Bag*1",13
128,image-resolution,image-resolution,"64M; 48M; 44M; 36M; 24M; 20M; 16M;
12M; 10M; 7M-Wide;
5M; 3M; 2M-Wide",14
129,video-resolution,video-resolution,"4K ULTRA HD -10FPS ；2.7K-30FPS ； FULL HD-30FPS ；
HD-30FPS ； VGA-30FPS",14
130,front-image-sensor,front-image-sensor,13 megapixel CMOS sensor (up to 64MP interpolation),14
131,rear-selfie-image-sensor,rear-selfie-image-sensor,13 megapixel CMOS sensor (up to 64MP interpolation),14
132,display-screen,display-screen,2.8 inches 640 * 480 IPS high-definition,14
133,usb,usb,Type-C USB,14
134,expanded-memory-card,expanded-memory-card,TF Card slot (up to 256GB ),14
135,battery-capacity,battery-capacity,600MA/H 3.7V Rechargeable Lithium Battery,14
136,language,language,"English, Traditional Chinese, Simplified Chinese, French, German, Italian, Portuguese, Spanish, Russian, Japanese, Hebrew, Turkish, Dutch, Polish",14
137,accessories-for-camcorder,accessories-for-camcorder,"""User's Manual*1, USB Cable*1, Charger*1, Lithium Battery*1,
Lanyard*1, Glasses Cloth*1, Camera Bag*1""",14
138,image-resolution,image-resolution,88M；80M；72M; 64M；56M；48M； 36M；24M；20M；16M；12M；8M；5M；,15
139,video-resolution,video-resolution,8K(7680X4320) 15FPS; 6K(5760X3240) 30FPS;5K(5120X2880) 30FPS; 4K(3840X2160) 30FPS;2.7K(2688X1512) 30FPS;1080P(1920X1080) 60FPS;1080P(1920X1080) 30FPS;720P(1280X720) 60FPS; 720P(1280X720) 30FPS,15
140,image-sensor,image-sensor,8 megapixels IMX415 CMOS sensor(up to 88MP Interpolation),15
141,dispaly-screen,dispaly-screen,"3.0 inch IPS display, capacitive touch, 270 degrees rotation",15
142,memory-card,memory-card,"SD Card slot (up to 256GB),Support SDXC class 10 U1",15
143,usb,usb,Type C USB2.0,15
144,power,power,High-capacity rechargeable lithium battery,15
145,language,language,English/ Simplified Chinese/ Traditional Chinese Japanese/ Korean/ French/ German/ Italian/ Spanish/ Portuguese/ Russian/ Polish/ Vietnamese,15
